S.No,Topic,Subtopic,Level,Question,question_image,Options (JSON),Solution (Correct Option Number),Explanation,image_url
29.0,Data Interpretation,Histogram,medium,The histogram provided shows the distribution of scores obtained by students in a mathematics test. How many students scored 20 or more marks but less than 50 marks?,Histogram_1766392203298.png,"{""1"":""58"",""2"":""43"",""3"":""40"",""4"":""76""}",1.0,"To find the total number of students who scored 20 or more but less than 50, we need to sum the frequencies of the class intervals that fall within this range. The relevant intervals are '20-30', '30-40', and '40-50'.

From the histogram, the frequency for the '20-30' score range is 18.
The frequency for the '30-40' score range is 25.
The frequency for the '40-50' score range is 15.

Adding these frequencies together gives the total number of students: 18 + 25 + 15 = 58. Therefore, 58 students scored 20 or more but less than 50 marks.

Option 2 (43) is incorrect because it is the sum of only the '20-30' and '30-40' intervals (18 + 25), omitting the '40-50' interval. Option 3 (40) is incorrect as it is the sum of the '30-40' and '40-50' intervals (25 + 15), omitting the '20-30' interval. Option 4 (76) is incorrect because it includes the '50-60' interval (18 + 25 + 15 + 8), which is not less than 50.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Histogram_1766392203298.png?
30.0,Data Interpretation,Histogram,hard,"The histogram provided shows the distribution of scores for 500 students in an entrance examination. The qualifying score for the exam is 60. All students scoring 60 or more qualified. It is also known that a total of 250 students qualified for the next round. The additional qualifiers, who scored less than 60, were selected via a special quota. Among the students who qualified via this quota, the number of students from the 40-60 score range was three times the number from the 20-40 score range. No student scoring below 20 qualified. Based on this information, what is the ratio of the number of non-qualified students in the 40-60 score range to the number of non-qualified students in the 20-40 score range?",Histogram_1766392265356.png,"{""1"":""4:3"",""2"":""3:4"",""3"":""3:2"",""4"":""2:1""}",1.0,"The correct option is 1.

First, we determine the number of students who qualified based on their score alone (i.e., scoring 60 or more). From the histogram, the number of students in the 60-80 range is 130, and in the 80-100 range is 80. So, 130 + 80 = 210 students qualified with a score of 60 or more.

Next, we find the number of students who qualified via the special quota. The total number of qualified students is 250. Therefore, the number of students who qualified via quota (with a score less than 60) is 250 - 210 = 40 students.

These 40 quota students are from the 20-40 and 40-60 score ranges. Let the number of quota students from the 20-40 range be 'x'. Then the number of quota students from the 40-60 range is '3x'. The total number of quota students is x + 3x = 40. This gives 4x = 40, so x = 10. Thus, 10 quota students are from the 20-40 range, and 3*10 = 30 quota students are from the 40-60 range.

Now, we find the number of non-qualified students in these ranges. The total number of students in the 20-40 range is 100. Since 10 of them qualified, the number of non-qualified students is 100 - 10 = 90. The total number of students in the 40-60 range is 150. Since 30 of them qualified, the number of non-qualified students is 150 - 30 = 120.

Finally, we calculate the required ratio of non-qualified students in the 40-60 range to those in the 20-40 range. The ratio is 120 : 90, which simplifies to 12 : 9, and further to 4 : 3.

Option 2 is incorrect because it is the inverted ratio (90:120 = 3:4). Option 3 is incorrect as it represents the ratio of the total number of students in the respective ranges (150:100 = 3:2), ignoring the qualification criteria. Option 4 results from incorrectly distributing the quota students, for instance, by calculating x = 30 and 3x = 10, leading to non-qualified counts of 70 (100-30) and 140 (150-10), and a ratio of 140:70 or 2:1.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Histogram_1766392265356.png?
31.0,Data Interpretation,Tabular Data,easy,Refer to the table of weekly book sales. How many books were sold by 'Reader's Corner' on Monday?,Tabular Data_1766418056822.png,"{""1"":""150"",""2"":""140"",""3"":""175"",""4"":""120""}",3.0,"To find the number of books sold by 'Reader's Corner' on Monday, locate the row labeled 'Reader's Corner' and the column labeled 'Monday'. The value at the intersection of this row and column is 175. Therefore, 175 books were sold.

Option 1 (150) is incorrect because it represents the sales for 'Pages & Co.' on Monday. Option 2 (140) is incorrect as it represents the sales for 'Reader's Corner' on Tuesday. Option 4 (120) is incorrect because it is the sales figure for 'The Book Nook' on Monday.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Tabular_Data_1766418056822.png?
32.0,Data Interpretation,Tabular Data,medium,Refer to the table showing the sales of different electronic gadgets (in '000 units) by ElectroCorp. What is the difference between the combined sales of Smartphones and Wearables in 2022 and the combined sales of Laptops and Tablets in 2021?,Tabular Data_1766418553987.png,"{""1"":""270,000"",""2"":""190,000"",""3"":""750,000"",""4"":""240,000""}",1.0,"Option 1 is correct. First, calculate the combined sales of Laptops and Tablets in 2021. According to the table, the sales were 145 ('000) for Laptops and 95 ('000) for Tablets. The combined total is 145,000 + 95,000 = 240,000. Second, calculate the combined sales of Smartphones and Wearables in 2022. The table shows sales of 310 ('000) for Smartphones and 200 ('000) for Wearables. The combined total is 310,000 + 200,000 = 510,000. The question asks for the difference between these two totals, which is 510,000 - 240,000 = 270,000.

Option 2 is incorrect. This value is the result of misreading the years for the calculation. If one were to calculate the combined sales of Smartphones and Wearables in 2021 (280,000 + 180,000 = 460,000) and subtract the combined sales of Laptops and Tablets in 2022 (160,000 + 110,000 = 270,000), the difference would be 190,000.

Option 3 is incorrect. This is the result of adding the two intermediate totals (510,000 + 240,000 = 750,000) instead of finding their difference.

Option 4 is incorrect. This value, 240,000, represents only the combined sales of Laptops and Tablets in 2021. This is an intermediate step and not the final answer.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Tabular_Data_1766418553987.png?
33.0,Data Interpretation,Tabular Data,hard,"The table below shows the annual performance metrics for five departments in a company. The company has instituted a Performance Incentive Plan with the following rules: 1) The plan is only applicable to departments where the annual number of projects completed per employee is at least 2.2. 2) For all eligible departments, a base incentive of $500 per employee is awarded. 3) An additional 'Efficiency Bonus' of 20% on the department's total base incentive amount is given, but only if the department's Average Project Completion Time is below 30 days. Based on these rules, what is the total incentive amount, in dollars, disbursed by the company?",Tabular Data_1766419213200.png,"{""1"":""$116,000"",""2"":""$102,500"",""3"":""$123,000"",""4"":""$128,500""}",1.0,"The correct option is 1. The solution requires a multi-step calculation based on the conditions provided.

Step 1: Identify departments eligible for the incentive plan. Eligibility requires the number of projects per employee to be at least 2.2.
- IT: 150 projects / 60 employees = 2.5 (Eligible)
- HR: 45 projects / 25 employees = 1.8 (Not Eligible)
- Marketing: 90 projects / 40 employees = 2.25 (Eligible)
- Finance: 75 projects / 30 employees = 2.5 (Eligible)
- Operations: 210 projects / 75 employees = 2.8 (Eligible)

Step 2: Calculate the base incentive for each eligible department ($500 per employee).
- IT: 60 employees * $500 = $30,000
- Marketing: 40 employees * $500 = $20,000
- Finance: 30 employees * $500 = $15,000
- Operations: 75 employees * $500 = $37,500

Step 3: Check for and calculate the 'Efficiency Bonus' for eligible departments. The bonus applies if the Average Project Completion Time is less than 30 days.
- IT: Avg. Time is 28 days (< 30). Bonus = 20% of $30,000 = $6,000.
- Marketing: Avg. Time is 35 days (not < 30). Bonus = $0.
- Finance: Avg. Time is 42 days (not < 30). Bonus = $0.
- Operations: Avg. Time is 25 days (< 30). Bonus = 20% of $37,500 = $7,500.

Step 4: Calculate the total incentive for each department and sum them up.
- IT Total: $30,000 (base) + $6,000 (bonus) = $36,000
- Marketing Total: $20,000 (base) + $0 (bonus) = $20,000
- Finance Total: $15,000 (base) + $0 (bonus) = $15,000
- Operations Total: $37,500 (base) + $7,500 (bonus) = $45,000
- Total Disbursed Amount: $36,000 + $20,000 + $15,000 + $45,000 = $116,000.

Option 2 is incorrect because it is the sum of the base incentives for eligible departments ($102,500) without adding the Efficiency Bonus. Option 3 is incorrect because it results from incorrectly applying the 20% bonus to the total base incentive of all eligible departments ($102,500 * 1.2 = $123,000) instead of only to the departments that met the time criteria. Option 4 is incorrect because it calculates the base incentive for all five departments (including the ineligible HR department) and then adds the correct bonuses, leading to an inflated total.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Tabular_Data_1766419213200.png?
34.0,Data Interpretation,Caselets,easy,"Refer to the table, which shows the number of units of different items sold by a bakery on a certain day. How many units of Cookies were sold?",Caselets_1766419240591.png,"{""1"":""25"",""2"":""30"",""3"":""40"",""4"":""55""}",3.0,"Option 3 is correct. The question asks for the number of units of Cookies sold. By looking at the row corresponding to 'Cookies' in the provided table, we can directly read the value in the 'Units Sold' column, which is 40.

Option 1 is incorrect because 25 is the number of units of Cakes sold. Option 2 is incorrect because 30 is the number of units of Breads sold. Option 4 is incorrect because 55 is the number of units of Pastries sold.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Caselets_1766419240591.png?
35.0,Data Interpretation,Caselets,medium,"The table provides data on the number of students in three different departments of a college. Based on the information, what is the difference between the total number of boys in the Arts and Commerce departments combined, and the total number of girls in the Science department?",Caselets_1766419602491.png,"{""1"":""190"",""2"":""50"",""3"":""110"",""4"":""130""}",1.0,"The correct option is 1. The calculation is as follows:

First, calculate the number of boys in the Arts department. The ratio of boys to girls is 5:3, so the total parts are 5 + 3 = 8. The number of boys is (5/8) * 480 = 300.

Next, calculate the number of boys in the Commerce department. The ratio of boys to girls is 4:5, so the total parts are 4 + 5 = 9. The number of boys is (4/9) * 540 = 240.

The total number of boys in the Arts and Commerce departments combined is 300 + 240 = 540.

Then, calculate the number of girls in the Science department. The ratio of boys to girls is 6:7, so the total parts are 6 + 7 = 13. The number of girls is (7/13) * 650 = 350.

Finally, find the difference: 540 - 350 = 190.

Option 2 is incorrect because 50 is the difference between the number of girls in Science (350) and the number of boys in Arts (300), ignoring the boys from Commerce. Option 3 is incorrect because 110 is the difference between the number of girls in Science (350) and the number of boys in Commerce (240), ignoring the boys from Arts. Option 4 is incorrect; it might result from a miscalculation, such as finding the difference between girls in Arts & Commerce combined (180+300=480) and girls in Science (350), which gives 130. The question asks for boys.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Caselets_1766419602491.png?
36.0,Data Interpretation,Caselets,hard,"Read the following information in conjunction with the provided table about funding at the Quantum Dynamics research institute. All funding figures are in millions of dollars.

In 2022, the total funding from Government Grants (GG) was 11/14th of the total funding from Corporate Sponsorships (CS). The total funding for the Chemistry division was 1.5 times the total funding for the Biology division.

In 2023, the total funding from Government Grants (GG) for the institute was 70 million. The total funding for the Physics division was 10 million less than its total funding in 2022. For the Chemistry division, the funding from CS was 5 million less than its funding from GG.

What was the approximate percentage increase in funding from Corporate Sponsorships (CS) for the Physics division from 2022 to 2023?",Caselets_1766420580446.png,"{""1"":""16.7%"",""2"":""-20.0%"",""3"":""24.0%"",""4"":""14.3%""}",1.0,"The solution requires a step-by-step reconstruction of the funding data for both years by combining the information from the table and the text.

**Step 1: Complete the 2022 Data**
1.  From the table for Physics: Total funding is 50, GG is 20. So, CS funding = 50 - 20 = 30 million.
2.  From the table for Biology: All values are given. Total funding is 30 million.
3.  From the text, total funding for Chemistry = 1.5 * total funding for Biology = 1.5 * 30 = 45 million. From the table, Chemistry's CS funding is 25 million. Therefore, Chemistry's GG funding = 45 - 25 = 20 million.
4.  Now, calculate the 2022 totals: Total GG = 20 (Physics) + 20 (Chem) + 15 (Bio) = 55 million. Total CS = 30 (Physics) + 25 (Chem) + 15 (Bio) = 70 million. Total Funding = 55 + 70 = 125 million.
5.  Verify with the text: Total GG (55) should be 11/14th of Total CS (70). (11/14) * 70 = 55. This is consistent.

**Step 2: Complete the 2023 Data**
1.  From the text, total funding for the Physics division in 2023 = Total funding in 2022 - 10 = 50 - 10 = 40 million.
2.  From the table, Physics CS funding for 2023 is 35 million. Therefore, Physics GG funding = 40 - 35 = 5 million.
3.  From the text, for Chemistry, CS funding = GG funding - 5. Also, from the table, Chem GG + Chem CS = 65. Substituting the first equation into the second: Chem GG + (Chem GG - 5) = 65 => 2 * Chem GG = 70 => Chem GG = 35 million. Thus, Chem CS = 35 - 5 = 30 million.
4.  From the text, Total GG funding for 2023 is 70 million. We can find Biology's GG funding by subtraction: Bio GG = Total GG - Physics GG - Chem GG = 70 - 5 - 35 = 30 million. (This matches the table where Bio Total is 50 and Bio CS is 20, so Bio GG = 30).

**Step 3: Calculate the Percentage Increase**
1.  From Step 1, funding from CS for the Physics division in 2022 was 30 million.
2.  From Step 2 (or the table), funding from CS for the Physics division in 2023 is 35 million.
3.  Increase = 35 - 30 = 5 million.
4.  Percentage Increase = (Increase / Initial Value) * 100 = (5 / 30) * 100 = (1/6) * 100 = 16.67%.

Thus, the approximate percentage increase is 16.7%.

Option 2 is incorrect. -20% represents the percentage decrease in the *total* funding for the Physics division ((40-50)/50).
Option 3 is incorrect. 24% is the percentage increase in the institute's *total* funding ((155-125)/125).
Option 4 is incorrect. 14.3% results from an error in the percentage calculation, using the final value as the base instead of the initial value ((5/35)*100).",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Caselets_1766420580446.png?
37.0,Data Sufficiency,Two Statements – Single Variable,easy,"What is the value of the variable x?

Statement (1): x is a positive integer.
Statement (2): The relationship involving x is given by the equation shown.",Two Statements – Single Variable_1766420622858.png,"{""1"":""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."",""2"":""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."",""3"":""Both statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."",""4"":""Each statement ALONE is sufficient.""}",3.0,"The correct option is 3. To find a unique value for x, we need to use information from both statements together. Statement (2), from the equation x² = 16, tells us that x could be 4 or -4. Statement (1) specifies that x must be a positive integer. Combining these two conditions, the only possible value for x is 4. Thus, both statements together are sufficient.

Statement (1) alone is not sufficient. Knowing that x is a positive integer leaves infinite possibilities (x could be 1, 2, 3, etc.), so we cannot determine a unique value for x from this statement alone.

Statement (2) alone is not sufficient. The equation x² = 16 has two solutions: x = 4 and x = -4. Since we cannot determine a single, unique value for x from this statement, it is not sufficient by itself.

Since neither statement is sufficient on its own, options 1, 2, and 4 are incorrect. Option 3 is the only correct choice as the combination of the two statements provides a unique answer.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Two_Statements_-_Single_Variable_1766420622858.png?
38.0,Data Sufficiency,Two Statements – Single Variable,medium,"What is the value of the integer y? Refer to the two statements below.

Statement (1): y is a solution to the equation shown.
Statement (2): y is an even prime number.",Two Statements – Single Variable_1766420681089.png,"{""1"":""Statement (1) alone is sufficient to answer the question, but statement (2) alone is not."",""2"":""Statement (2) alone is sufficient to answer the question, but statement (1) alone is not."",""3"":""Both statements together are sufficient to answer the question, but neither statement alone is sufficient."",""4"":""The question cannot be answered even with the information from both statements.""}",2.0,"The correct option is 2.

To determine the value of 'y', we must analyze each statement's sufficiency. Let's evaluate Statement (2) first. A prime number is a natural number greater than 1 with no positive divisors other than 1 and itself. The prime numbers are 2, 3, 5, 7, etc. An even number is an integer divisible by 2. The only number that is both even and prime is 2. Therefore, Statement (2) uniquely determines that y = 2. This statement alone is sufficient.

Now, let's evaluate Statement (1). The equation is y² - 5y + 6 = 0. Factoring the quadratic expression gives (y - 2)(y - 3) = 0. The solutions are y = 2 and y = 3. Since there are two possible values for y, Statement (1) does not provide a single, unique value. Thus, Statement (1) alone is not sufficient.

Since Statement (2) alone is sufficient and Statement (1) alone is not, the correct answer is that Statement (2) alone is sufficient to answer the question, but statement (1) alone is not. Option 1 is incorrect because Statement (1) is not sufficient. Option 3 is incorrect because Statement (2) is sufficient on its own, so both are not needed together. Option 4 is incorrect because the question can be answered using Statement (2).",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Two_Statements_-_Single_Variable_1766420681089.png?
39.0,Data Sufficiency,Two Statements – Single Variable,hard,"If `x` is an integer and `k` is a positive integer, what is the value of `x`? Refer to the equation shown.

Statement I: `k` is a prime number.
Statement II: `k` < 4.",Two Statements – Single Variable_1766420759676.png,"{""1"":""Statement (I) ALONE is sufficient, but statement (II) alone is not sufficient to answer the question."",""2"":""Statement (II) ALONE is sufficient, but statement (I) alone is not sufficient to answer the question."",""3"":""BOTH statements (I) and (II) TOGETHER are sufficient to answer the question, but NEITHER statement ALONE is sufficient."",""4"":""Statements (I) and (II) TOGETHER are NOT sufficient to answer the question.""}",1.0,"The correct option is 1.

First, let's analyze the equation provided in the question stem. The equation is a cubic polynomial in `x`. We can factor it by grouping:
`x^3 + x^2 - kx - k = 0`
`x^2(x + 1) - k(x + 1) = 0`
`(x^2 - k)(x + 1) = 0`
This gives two possibilities for the value of `x`: `x + 1 = 0` or `x^2 - k = 0`. So, `x = -1` or `x^2 = k`. Since the question states that `x` is an integer, the solutions depend on the value of `k`. If `k` is a perfect square (e.g., k = m^2 for some integer m), then `x^2 = k` yields integer solutions `x = m` and `x = -m`. In this case, the possible integer values for `x` are `-1`, `m`, and `-m`. If `k` is not a perfect square, `x^2 = k` has no integer solutions, so the only possible integer value for `x` is `-1`.

Now let's evaluate Statement (I): `k` is a prime number. The prime numbers are 2, 3, 5, 7, 11, etc. A prime number has only two distinct factors: 1 and itself. A perfect square `m^2` (for m > 1) has at least three factors: 1, `m`, and `m^2`. The only perfect square that is not in this category is `1^2=1`, which is not a prime number. Therefore, no prime number is a perfect square. This means `k` cannot be a perfect square. Consequently, the equation `x^2 = k` has no integer solutions for `x`. The only possible integer solution for `x` from the original equation is `x = -1`. This gives a single, unique value for `x`. Thus, Statement (I) alone is sufficient.

Next, let's evaluate Statement (II): `k < 4`. Since `k` is a positive integer, the possible values for `k` are 1, 2, and 3. We must check if this information leads to a unique value for `x`.
Case 1: `k = 1`. The number 1 is a perfect square (1^2). The possible solutions for `x` are `x = -1` and the solutions to `x^2 = 1`, which are `x = 1` and `x = -1`. So, if `k=1`, `x` could be -1 or 1. This is not a unique value.
Case 2: `k = 2`. The number 2 is not a perfect square. The only integer solution is `x = -1`.
Case 3: `k = 3`. The number 3 is not a perfect square. The only integer solution is `x = -1`.
Since `k` could be 1, we cannot be certain that `x = -1`. The value of `x` could be 1. Because there is no single unique value for `x` that satisfies the condition for all possible values of `k`, Statement (II) alone is not sufficient.

Since Statement (I) alone is sufficient and Statement (II) alone is not sufficient, the correct option is 1. Option 2 is incorrect because Statement (II) is not sufficient. Option 3 is incorrect because Statement (I) is sufficient by itself. Option 4 is incorrect because the question can be answered using Statement (I).",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Two_Statements_-_Single_Variable_1766420759676.png?
40.0,Data Sufficiency,Two Statements – Two Variables,easy,"If p and q are two numbers, what is the value of p? Refer to the statements provided in the image.",Two Statements – Two Variables_1766420792852.png,"{""1"":""Statement (1) alone is sufficient, but statement (2) alone is not sufficient."",""2"":""Statement (2) alone is sufficient, but statement (1) alone is not sufficient."",""3"":""Both statements together are sufficient, but neither statement alone is sufficient."",""4"":""Statements (1) and (2) together are not sufficient.""}",3.0,"3 is the correct option. Statement (1) provides a single equation, p + q = 12, with two unknown variables. We cannot determine a unique value for p from this equation alone (for example, if q=2, p=10; if q=6, p=6). Thus, Statement (1) is not sufficient. Similarly, Statement (2) provides another single equation, p - q = 4, with two unknowns. This is also not sufficient to find a unique value for p (for example, if q=1, p=5; if q=2, p=6).

However, if we use both statements together, we have a system of two distinct linear equations with two variables:
1) p + q = 12
2) p - q = 4
Adding the two equations gives 2p = 16, which means p = 8. Since we can find a unique value for p, both statements together are sufficient.

Since neither statement is sufficient on its own, but they are sufficient together, the correct choice is that both statements together are sufficient, but neither is sufficient alone. Options 1 and 2 are incorrect because neither statement is sufficient by itself. Option 4 is incorrect because the statements together are sufficient.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Two_Statements_-_Two_Variables_1766420792852.png?
41.0,Data Sufficiency,Two Statements – Two Variables,medium,"If a and b are real numbers, what is the value of the expression a - b?

Statement (1): The relationship between a and b is described by the equation shown in the image.
Statement (2): The sum of a and b is 6.",Two Statements – Two Variables_1766420872825.png,"{""1"":""Statement (1) alone is sufficient to answer the question, but statement (2) alone is not."",""2"":""Statement (2) alone is sufficient to answer the question, but statement (1) alone is not."",""3"":""Both statements together are sufficient to answer the question, but neither statement alone is sufficient."",""4"":""The data in both statements together are not sufficient to answer the question.""}",3.0,"To determine the value of 'a - b', we need to analyze each statement.

Statement (1) provides the equation a² - b² = 24. This can be factored using the difference of squares formula into (a - b)(a + b) = 24. To find the value of 'a - b' from this equation, we would need the value of 'a + b'. Since 'a + b' is unknown, we cannot find a unique value for 'a - b'. For example, if a + b = 12, then a - b = 2. If a + b = 8, then a - b = 3. Therefore, statement (1) alone is not sufficient.

Statement (2) states that a + b = 6. This statement gives the sum of a and b, but provides no information about their difference. There are infinite pairs of 'a' and 'b' that sum to 6 (e.g., a=4, b=2 gives a-b=2; a=5, b=1 gives a-b=4). Therefore, statement (2) alone is not sufficient.

When we combine both statements, we have a system of two pieces of information: (a - b)(a + b) = 24 from statement (1), and a + b = 6 from statement (2). We can substitute the value from statement (2) into the equation from statement (1). This gives us (a - b) * 6 = 24. Dividing both sides by 6, we get a - b = 4. We have found a unique value for the expression 'a - b'.

Since neither statement alone is sufficient, but both statements together are sufficient to answer the question, the correct option is 3.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Two_Statements_-_Two_Variables_1766420872825.png?
42.0,Data Sufficiency,Two Statements – Two Variables,hard,"If x and y are non-zero numbers, what is the value of the expression x/y?

Statement (1): The relationship between x and y is described by the equation shown in the image.
Statement (2): 3x = 6y",Two Statements – Two Variables_1766421039784.png,"{""1"":""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."",""2"":""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."",""3"":""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."",""4"":""EACH statement ALONE is sufficient.""}",4.0,"4
To determine the value of x/y, we must evaluate each statement's sufficiency.

Statement (1) provides an equation. We can simplify it algebraically:
(x^2 + 4y^2) / (4xy) = 1
Multiply both sides by 4xy (which is non-zero since x and y are non-zero):
x^2 + 4y^2 = 4xy
Rearrange the terms to one side:
x^2 - 4xy + 4y^2 = 0
This is a perfect square trinomial, which can be factored as:
(x - 2y)^2 = 0
Taking the square root of both sides gives:
x - 2y = 0
x = 2y
Since y is non-zero, we can divide by y to find the value of the ratio x/y:
x/y = 2
Thus, Statement (1) alone is sufficient to determine a unique value for x/y.

Statement (2) provides the equation 3x = 6y. We can simplify this equation by dividing both sides by 3:
x = 2y
Again, since y is non-zero, we can divide by y:
x/y = 2
Thus, Statement (2) alone is also sufficient to determine a unique value for x/y.

Since each statement alone provides enough information to answer the question, the correct option is that each statement alone is sufficient. Options 1, 2, and 3 are incorrect because they claim that at least one of the statements is not sufficient by itself.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Two_Statements_-_Two_Variables_1766421039784.png?
43.0,Data Sufficiency,Arithmetic Data Sufficiency,easy,"If x is a positive integer, what is its value?

(1) x is a prime number between 10 and 15.
(2) The sum of the digits of x is 4.",no image,"{""1"":""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."",""2"":""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."",""3"":""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."",""4"":""EACH statement ALONE is sufficient.""}",3.0,"To answer the question, we need to find a unique value for the positive integer x.

Analyzing statement (1) alone: It states that x is a prime number between 10 and 15. The prime numbers in this range are 11 and 13. Since x could be either of two values, we cannot determine a unique value for x. Thus, statement (1) alone is not sufficient.

Analyzing statement (2) alone: It states that the sum of the digits of x is 4. There are multiple integers that satisfy this condition, such as 4, 13, 22, 31, 40, etc. Since we cannot determine a unique value for x, statement (2) alone is not sufficient.

Combining both statements: From statement (1), we know that x must be either 11 or 13. From statement (2), we know the sum of the digits of x is 4. Let's check the possibilities from statement (1). If x = 11, the sum of digits is 1 + 1 = 2, which contradicts statement (2). If x = 13, the sum of digits is 1 + 3 = 4, which matches statement (2). Therefore, using both statements together, we find a unique value, x = 13.

Since we need both statements to find a unique answer, the correct option is 3. Option 1 and 2 are incorrect because neither statement is sufficient on its own. Option 4 is incorrect for the same reason.",
44.0,Data Sufficiency,Arithmetic Data Sufficiency,medium,"If x and y are positive integers that satisfy the relationship shown in the equation, what is the value of x?",Arithmetic Data Sufficiency_1766421132956.png,"{""1"":""Statement (1) ALONE is sufficient, but statement (2) alone is not sufficient."",""2"":""Statement (2) ALONE is sufficient, but statement (1) alone is not sufficient."",""3"":""BOTH statements TOGETHER are sufficient, but NEITHER statement ALONE is sufficient."",""4"":""Statements (1) and (2) TOGETHER are NOT sufficient.""}",2.0,"The problem asks for the value of the positive integer x, given the equation relating x and y.

First, let's find the possible integer pairs (x, y) that satisfy the equation. Since x and y must be positive integers, we can test values for x and see if we get an integer value for y. The equation can be rearranged to 3y = 47 - 5x. This means that 47 - 5x must be a positive multiple of 3.
- If x = 1, 3y = 47 - 5 = 42, so y = 14. This is a valid pair (1, 14).
- If x = 2, 3y = 47 - 10 = 37. Not a multiple of 3.
- If x = 3, 3y = 47 - 15 = 32. Not a multiple of 3.
- If x = 4, 3y = 47 - 20 = 27, so y = 9. This is a valid pair (4, 9).
- If x = 5, 3y = 47 - 25 = 22. Not a multiple of 3.
- If x = 6, 3y = 47 - 30 = 17. Not a multiple of 3.
- If x = 7, 3y = 47 - 35 = 12, so y = 4. This is a valid pair (7, 4).
- If x = 8, 3y = 47 - 40 = 7. Not a multiple of 3.
- If x is 9 or greater, 5x is 45 or greater, making 47 - 5x too small to yield a positive y.
So, the possible pairs (x, y) are (1, 14), (4, 9), and (7, 4). The possible values for x are 1, 4, or 7.

Statement (1): y < 10.
This condition is met by the pairs (4, 9) and (7, 4), as in both cases y is less than 10. It eliminates the pair (1, 14). This leaves two possible values for x: 4 and 7. Since we cannot determine a unique value for x, statement (1) alone is not sufficient.

Statement (2): x > 5.
This condition is only met by the pair (7, 4), since x=7 is the only value of x greater than 5. The other possible values for x (1 and 4) are eliminated. This gives a unique value for x, which is 7. Therefore, statement (2) alone is sufficient.

Since statement (2) alone is sufficient and statement (1) alone is not, the correct answer is option 2.",https://cripzwtfxuxeyfpfvqrd.supabase.co/storage/v1/object/public/question-images/questions/Arithmetic_Data_Sufficiency_1766421132956.png?
